baseline_id,instance_id,task_id,model_id,model_name,model_variant,expected_model_variant,observed_model_variants,model_binding_valid,fault_id,fault_layer,scope,covered,fault_triggered,strict_success,repair_round,repair_at_1,repair_at_2,repair_at_4,attempts,patch_count,out_of_scope_edit_count,compile_status,execution_status,numerical_status,gradient_status,update_status,failure_reason,wall_time_sec,prompt_tokens,completion_tokens,total_tokens,llm_calls,raw_report,final_patch
r_exec,EX-01-A,EX-01-A,M1,CNN,cnn,cnn,cnn,True,EX-01,execution,candidate,True,True,True,1,True,True,True,1,1,0,,,,,,,49.108971,1976,6305,8281,1,checkpoints/r_exec/EX-01-A/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-01-A/native/results/candidates/EX-01-A
r_exec,EX-01-B,EX-01-B,M2,Image MLP,mlp,mlp,mlp,True,EX-01,execution,candidate,True,True,True,1,True,True,True,1,1,0,,,,,,,61.858806,1939,7791,9730,1,checkpoints/r_exec/EX-01-B/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-01-B/native/results/candidates/EX-01-B
r_exec,EX-02-A,EX-02-A,M1,CNN,cnn,cnn,cnn,True,EX-02,execution,candidate,True,True,True,1,True,True,True,1,1,0,,,,,,,12.096363,1996,1202,3198,1,checkpoints/r_exec/EX-02-A/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-02-A/native/results/candidates/EX-02-A
r_exec,EX-02-B,EX-02-B,M3,Transformer Classifier,transformer,transformer,transformer,True,EX-02,execution,candidate,True,True,True,1,True,True,True,1,1,0,,,,,,,22.485377,2001,2645,4646,1,checkpoints/r_exec/EX-02-B/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-02-B/native/results/candidates/EX-02-B
r_exec,EX-03-A,EX-03-A,M1,CNN,cnn,cnn,cnn,True,EX-03,execution,candidate,True,True,True,1,True,True,True,1,1,0,,,,,,,15.049041,2013,1843,3856,1,checkpoints/r_exec/EX-03-A/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-03-A/native/results/candidates/EX-03-A
r_exec,EX-03-B,EX-03-B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,EX-03,execution,candidate,True,True,True,1,True,True,True,1,1,0,,,,,,,27.843427,2105,3898,6003,1,checkpoints/r_exec/EX-03-B/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-03-B/native/results/candidates/EX-03-B
r_exec,EX-04-A,EX-04-A,M2,Image MLP,mlp,mlp,mlp,True,EX-04,execution,candidate,True,True,True,1,True,True,True,1,1,0,,,,,,,7.230874,1964,692,2656,1,checkpoints/r_exec/EX-04-A/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-04-A/native/results/candidates/EX-04-A
r_exec,EX-04-B,EX-04-B,M3,Transformer Classifier,transformer,transformer,transformer,True,EX-04,execution,candidate,True,True,True,1,True,True,True,1,1,0,,,,,,,9.077516,2011,951,2962,1,checkpoints/r_exec/EX-04-B/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-04-B/native/results/candidates/EX-04-B
r_exec,EX-05-A,EX-05-A,M2,Image MLP,mlp,mlp,mlp,True,EX-05,execution,candidate,True,True,True,1,True,True,True,1,1,0,,,,,,,10.673891,1971,1104,3075,1,checkpoints/r_exec/EX-05-A/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-05-A/native/results/candidates/EX-05-A
r_exec,EX-05-B,EX-05-B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,EX-05,execution,candidate,True,True,True,1,True,True,True,1,1,0,,,,,,,15.300176,2060,1914,3974,1,checkpoints/r_exec/EX-05-B/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-05-B/native/results/candidates/EX-05-B
r_exec,EX-06-A,EX-06-A,M3,Transformer Classifier,transformer,transformer,transformer,True,EX-06,execution,core_operator,True,True,False,0,False,False,False,0,1,0,,,,,,wrong_root_cause_hypothesis,174.965906,0,0,0,0,checkpoints/r_exec/EX-06-A/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-06-A/native/results/candidates/EX-06-A
r_exec,EX-06-B,EX-06-B,M4,Tiny Causal LM,causal_lm,causal_lm,causal_lm,True,EX-06,execution,core_operator,True,True,False,0,False,False,False,0,1,0,,,,,,wrong_root_cause_hypothesis,176.934362,0,0,0,0,checkpoints/r_exec/EX-06-B/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-06-B/native/results/candidates/EX-06-B
r_exec,EX-07-A,EX-07-A,M1,CNN,cnn,cnn,cnn,True,EX-07,execution,core_operator,True,True,False,4,False,False,False,4,0,0,,,,,,repair_budget_exhausted,471.957478,0,0,0,0,checkpoints/r_exec/EX-07-A/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-07-A/native/results/candidates/EX-07-A
r_exec,EX-07-B,EX-07-B,M2,Image MLP,mlp,mlp,mlp,True,EX-07,execution,core_operator,True,True,False,4,False,False,False,4,0,0,,,,,,repair_budget_exhausted,414.257021,0,0,0,0,checkpoints/r_exec/EX-07-B/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-07-B/native/results/candidates/EX-07-B
r_exec,EX-08-A,EX-08-A,M1,CNN,cnn,cnn,cnn,True,EX-08,execution,core_operator,True,True,False,4,False,False,False,4,0,0,,,,,,repair_budget_exhausted,944.910872,0,0,0,0,checkpoints/r_exec/EX-08-A/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-08-A/native/results/candidates/EX-08-A
r_exec,EX-08-B,EX-08-B,M3,Transformer Classifier,transformer,transformer,transformer,True,EX-08,execution,core_operator,True,True,False,4,False,False,False,4,0,0,,,,,,repair_budget_exhausted,1042.97649,0,0,0,0,checkpoints/r_exec/EX-08-B/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-08-B/native/results/candidates/EX-08-B
r_exec,EX-09-A,EX-09-A,M1,CNN,cnn,cnn,cnn,True,EX-09,execution,core_operator,True,True,True,1,True,True,True,1,1,0,,,,,,,31.941067,1972,4156,6128,1,checkpoints/r_exec/EX-09-A/native/results/section65_fault_pool_repair_raw.json,checkpoints/r_exec/EX-09-A/native/results/candidates/EX-09-A
